value,EncryptionTime(ms),EncryptedSize(KB)
3,3.949,91.115
5,3.448,91.147
4,2.515,91.145
5,2.318,91.200
5,2.447,91.162
4,2.565,91.162
5,2.416,91.199
4,2.407,91.185
3,4.846,91.086
4,4.395,91.185
4,2.287,91.195
4,2.381,91.160
5,2.461,91.144
4,2.340,91.176
5,2.680,91.163
5,2.336,91.236
5,2.958,91.149
5,2.358,91.163
3,2.349,91.189
4,2.501,91.245
5,3.337,91.156
5,2.693,91.162
3,3.567,91.178
5,2.414,91.145
4,2.523,91.212
5,2.857,91.154
4,2.651,91.229
4,2.310,91.194
5,2.322,91.169
4,4.259,91.198
3,4.805,91.284
5,2.579,91.154
5,2.316,91.108
3,2.702,91.234
4,2.378,91.171
4,2.380,91.151
4,2.645,91.223
4,2.336,91.185
3,2.424,91.107
5,2.614,91.178
5,2.247,91.196
4,2.452,91.104
4,2.416,91.229
5,2.331,91.227
3,2.562,91.173
5,2.157,91.145
4,2.197,91.237
3,2.340,91.160
4,2.354,91.249
5,2.446,91.207
4,2.335,91.145
2,2.366,91.107
4,2.456,91.230
5,2.389,91.168
4,2.473,91.234
3,2.378,91.186
4,2.331,91.185
5,2.285,91.161
4,2.388,91.196
4,2.240,91.074
4,2.249,91.238
4,2.230,91.273
4,2.316,91.271
5,2.185,91.140
5,2.408,91.163
4,2.326,91.233
5,2.355,91.170
2,3.983,91.158
5,2.327,91.180
4,2.423,91.166
5,2.252,91.224
5,2.230,91.195
4,4.548,91.192
3,2.329,91.241
5,2.390,91.198
5,2.382,91.142
3,2.312,91.133
4,2.731,91.194
3,2.584,91.171
5,2.280,91.157
4,2.355,91.152
4,2.289,91.129
4,2.314,91.176
5,2.456,91.243
4,2.375,91.256
4,2.320,91.294
4,2.249,91.134
1,2.244,91.200
3,4.028,91.157
4,2.374,91.229
4,2.276,91.213
3,3.979,91.183
5,2.329,91.188
4,2.324,91.142
4,2.305,91.046
4,2.427,91.199
4,2.389,91.263
4,2.328,91.296
3,2.894,91.196
4,2.315,91.161
4,4.361,91.118
4,2.220,91.252
3,2.386,91.111
4,2.261,91.173
3,2.285,91.245
4,2.315,91.213
4,3.138,91.185
5,2.327,91.280
