QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
4,19.318,91.130,10,7.328,91.176,1,2.942,91.223,2,2.692,91.196,3,2.801,91.212
5,2.749,91.156,8,2.668,91.141,8,2.605,91.300,4,2.927,91.215,5,2.639,91.192
2,2.548,91.192,9,2.396,91.103,2,2.373,91.176,2,2.324,91.266,4,2.415,91.107
2,2.539,91.088,2,2.505,91.207,11,2.349,91.240,2,2.294,91.215,5,3.991,91.206
4,2.979,91.152,9,2.255,91.162,2,2.441,91.203,4,2.478,91.194,5,2.339,91.158
3,2.246,91.196,8,2.350,91.214,8,4.070,91.164,4,2.635,91.164,4,2.268,91.159
5,2.385,91.140,13,2.300,91.151,5,4.638,91.159,4,2.375,91.154,5,2.398,91.195
4,3.979,91.164,8,3.212,91.118,8,4.085,91.188,4,2.501,91.157,4,5.497,91.275
5,3.475,91.182,10,2.532,91.258,1,2.303,91.194,4,2.327,91.147,3,2.419,91.316
4,2.371,91.133,8,2.433,91.140,8,3.270,91.122,2,2.567,91.204,4,2.503,91.193
2,3.167,91.253,13,3.906,91.145,5,2.246,91.144,1,2.568,91.180,4,5.604,91.159
2,2.421,91.053,13,2.726,91.174,5,2.471,91.200,1,3.379,91.196,4,3.943,91.165
2,4.074,91.193,13,2.424,91.131,5,3.423,91.118,2,2.311,91.156,5,2.422,91.240
4,2.297,91.237,13,3.486,91.206,5,4.004,91.227,4,4.043,91.172,4,2.305,91.225
5,2.998,91.089,0,3.934,91.088,0,3.913,91.204,1,2.389,91.188,5,2.385,91.159
4,2.481,91.165,13,2.291,91.075,5,2.295,91.187,2,2.321,91.153,5,2.705,91.318
3,2.745,91.063,10,2.460,91.194,1,4.677,91.107,1,2.384,91.173,5,2.571,91.177
5,2.320,91.112,8,2.260,91.216,8,2.572,91.181,4,2.749,91.228,5,2.818,91.165
3,2.719,91.172,10,2.703,91.204,1,2.371,91.190,4,2.534,91.163,3,3.171,91.174
4,3.112,91.197,9,2.582,91.193,2,2.432,91.294,2,2.501,91.195,4,2.533,91.168
3,2.557,91.233,10,2.531,91.272,1,3.234,91.034,4,2.428,91.186,5,2.365,91.192
4,2.376,91.235,9,2.242,91.225,2,3.893,91.122,2,3.917,91.216,5,2.532,91.208
5,5.099,91.196,8,6.790,91.126,8,3.646,91.149,4,4.593,91.079,3,2.539,91.127
3,2.263,91.243,10,2.341,91.212,1,2.640,91.203,4,2.631,91.223,5,2.907,91.125
3,2.546,91.099,10,2.723,91.168,1,2.493,91.126,1,2.713,91.093,4,2.475,91.178
4,2.365,91.124,9,2.348,91.158,2,2.425,91.192,4,2.664,91.185,5,2.345,91.185
4,2.354,91.121,0,3.911,91.193,0,4.228,91.166,2,3.919,91.134,4,3.939,91.147
5,2.756,91.230,13,2.250,91.156,7,2.446,91.264,4,2.368,91.226,4,2.210,91.255
4,2.251,91.090,13,4.007,91.321,5,2.568,91.204,4,3.980,91.185,5,2.874,91.242
5,2.321,91.141,8,2.562,91.207,9,2.287,91.062,4,2.625,91.161,4,2.678,91.187
2,3.900,91.146,10,3.894,91.131,1,2.987,91.132,4,2.942,91.192,3,3.999,91.083
4,2.394,91.154,9,2.348,91.185,2,2.316,91.106,2,2.683,91.135,5,2.370,91.215
4,4.006,91.262,9,3.294,91.161,2,6.249,91.164,2,3.922,91.239,5,4.619,91.100
5,3.545,91.172,9,3.961,91.171,2,3.580,91.175,1,2.562,91.125,3,3.554,91.200
2,4.790,91.223,10,2.366,91.148,1,2.608,91.135,2,2.511,91.189,4,2.355,91.238
2,3.980,91.196,0,3.928,91.200,0,4.005,91.192,4,2.344,91.202,4,2.692,91.137
2,2.479,91.178,9,3.951,91.083,2,2.910,91.155,2,2.710,91.181,4,2.374,91.188
4,2.412,91.173,9,2.235,91.308,2,2.669,91.112,2,4.204,91.133,4,2.436,91.158
4,2.462,91.170,9,3.191,91.168,2,2.685,91.227,3,3.504,91.238,3,3.910,91.127
2,2.355,91.144,10,2.343,91.131,1,9.563,91.154,4,3.962,91.218,5,2.667,91.203
