value,encryptionTime
3,19.085
5,3.699
4,4.021
5,4.028
5,3.224
4,2.938
5,3.006
4,3.046
3,2.660
4,2.621
4,2.539
4,2.890
5,2.546
4,2.553
5,5.253
5,2.568
5,2.604
5,2.501
3,2.244
4,2.366
5,2.331
5,2.376
3,2.486
5,2.445
4,2.566
5,2.271
4,2.330
4,2.240
5,2.465
4,2.977
3,2.388
5,2.256
5,2.263
3,2.348
4,2.537
4,2.594
4,2.726
4,2.527
3,2.267
5,2.500
5,2.390
4,2.676
4,2.306
5,2.203
3,2.429
5,2.144
4,2.273
3,2.647
4,2.483
5,2.532
4,2.285
2,2.247
4,2.335
5,2.302
4,2.556
3,2.455
4,2.301
5,2.772
4,2.244
4,2.227
4,2.759
4,2.595
4,2.449
5,2.265
5,2.205
4,2.550
5,2.367
2,2.876
5,2.230
4,2.188
5,2.207
5,2.146
4,2.173
3,2.370
5,2.602
5,2.347
3,2.200
4,2.270
3,2.294
5,2.391
4,2.577
4,2.685
4,2.294
5,2.269
4,2.165
4,2.283
4,2.406
1,2.974
3,2.564
4,2.224
4,2.217
3,2.331
5,2.264
4,2.463
4,2.691
4,2.215
4,2.219
4,2.278
3,2.374
4,3.031
4,2.607
4,2.333
3,2.267
4,2.368
3,2.495
4,2.619
4,2.556
5,2.614
4,2.166
3,2.090
3,2.231
4,2.092
4,2.847
4,3.296
4,2.203
4,2.231
5,2.421
4,2.127
5,2.381
4,3.166
4,2.433
1,2.335
3,2.236
5,2.327
4,2.316
5,2.352
4,2.566
3,2.288
5,2.604
4,2.208
4,2.502
4,2.555
3,3.182
5,2.710
5,2.276
4,2.188
4,2.487
4,2.481
4,3.122
4,2.622
4,2.215
4,2.156
4,2.490
5,2.332
4,3.179
5,2.314
3,2.241
4,3.534
5,2.697
3,2.437
4,3.264
3,2.317
5,2.162
4,2.505
5,2.187
3,2.312
5,3.165
5,2.701
5,2.243
4,2.404
5,2.159
4,2.412
5,2.389
4,2.484
5,2.220
3,2.333
4,2.213
4,2.213
5,2.263
4,2.323
5,2.623
4,2.488
3,2.185
4,2.166
4,2.206
4,2.238
4,2.356
5,2.661
4,2.218
5,2.206
3,2.225
4,2.176
5,2.410
4,2.359
4,3.003
4,3.926
5,4.124
4,3.835
3,3.864
5,4.003
