provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash
https://devnet.zama.ai,1,44,156.31,44.22,45.71,6.98,6.83,0xd3fc1f0718e243bb32461ab9fe66056051d9c3704f3203a64a641567014655ed
https://devnet.zama.ai,2,40,156.09,44.22,37.50,0.73,5.01,0x4d26b91a41aeddd7e8180e9aa579819196e120654305c3d5627ad4b731c7b9bd
https://devnet.zama.ai,3,34,156.14,44.22,41.38,1.22,5.22,0xc540c381f3dcf10e266630fe9fe79406e526c19e0699b3aa795189d8fbf1fa91
https://devnet.zama.ai,4,35,156.29,44.22,41.38,1.57,5.03,0xfd605fb9f549f4bcb4e66ce5575fc0a65607341156a440bebc044d9bff994c06
https://devnet.zama.ai,5,40,156.22,44.22,32.26,0.87,4.27,0x5a1eedc7f55c2fbfc3b4323703f5bb7bab5b3138b8728795f3f0bed1113d04bc
https://devnet.zama.ai,6,27,156.35,44.22,27.27,0.90,5.28,0xa9db34bb08bf6e718f0086a82060b4706628e600fd4321dde722a90fafc4f39a
https://devnet.zama.ai,7,30,156.01,44.22,18.18,0.87,5.28,0x619cb27b28723b903248dca1dea0460e2c5d07bac3b467e5f51df4501aa311bd
https://devnet.zama.ai,8,40,156.21,44.22,31.25,1.41,5.01,0xdb510e2655862985377d7757200e4086645ecbd53673d823d24e3719ed7d4d98
https://devnet.zama.ai,9,27,156.18,44.22,34.48,0.86,4.26,0x719c795d77c154c94e63781096f29661bff02cca3415b85f3b7f1cdb1fb53666
https://devnet.zama.ai,10,43,156.17,44.22,25.71,0.86,5.27,0x10d95a35daccdb38090aecfd82906565a79ac560f7a180f078c55d6bdd76b1e0
https://devnet.zama.ai,11,32,156.04,44.22,18.18,0.86,5.14,0x894f9b50882d58b0107da4a9b97723d8503605dd0a583a4dd8b598ceb5d4755d
https://devnet.zama.ai,12,24,156.15,44.22,16.67,0.86,5.19,0x15aff3961f6a076eed9c31c65162753b3d731df24f539390aa2110d319e467f5
https://devnet.zama.ai,13,38,156.09,44.22,43.33,1.70,4.27,0xf2c8725fb7fd0b4445122c4d9099105c63701c5363bb40abe86d3e6a947b9273
https://devnet.zama.ai,14,25,156.08,44.22,21.05,0.86,5.29,0xde5e258f25aad9815fe78ede0471676049e5fe981c877890d39905964c5ee623
https://devnet.zama.ai,15,32,156.19,44.22,30.77,0.86,5.26,0x409c07676c41518b737c9cd7931f24d1b28a11f4c8a7e225d44e56b43481ec22
https://devnet.zama.ai,16,24,156.36,44.22,36.84,0.86,5.02,0xb44a124c0ca3ccc51ed617432ccbe0b9221996e220931266d4ceb31ef283f4a8
https://devnet.zama.ai,17,48,156.14,44.22,28.21,0.86,5.13,0x5394fc0492ca9f5a45134ab415257ef765d0a857772f71d6c3cb585caef0be90
https://devnet.zama.ai,18,35,156.12,44.22,46.43,1.35,4.27,0x2f5ff253d9cc007c8921b190c94e6eafb81bbccf01bdfceef0a9d2682f88bf63
https://devnet.zama.ai,19,53,156.24,44.22,26.19,0.87,5.18,0xb564f002d9f0799fb8458e54752f84cab93fa32ded5e14344db6f0d99b3d76a1
